SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000054,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,6,4.25,4,6.2,,2022
02000055,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8,7.25,5,,,,9,7.5,2022
02000056,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,,,4.5,7.5,5.25,8.6,,2022
02000057,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,5.75,6.25,,,,8.8,8.75,2022
02000058,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.75,,,4.5,6.75,3.75,9,,2022
02000059,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,7.75,7.5,,,,8.8,8,2022
02000060,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,9.25,8.25,,,,8.8,8.75,2022
02000061,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6,7.75,7.5,,,,7.2,9.25,2022
02000062,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,,,7.25,4.75,5.75,8,,2022
02000063,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.5,,,8.25,7.25,5.25,8,,2022
02000064,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.75,9,7.75,,,,9.2,9.25,2022
02000065,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.75,7.75,6.5,,,,7.2,8.25,2022
02000066,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5,,,8,5.5,3.25,7.6,,2022
02000067,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6,,,7.5,6,3.25,8.6,,2022
02000068,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6,,,7.75,6.75,5.25,8.8,,2022
02000069,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,6,6,3.75,8.4,,2022
02000070,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,,,6.5,8.25,7.5,7.6,,2022
02000071,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,,,3,7.25,7.25,6.8,,2022
02000072,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7,,,4.75,5.75,3.5,8.2,,2022
02000073,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,3.75,,,6,8,4.5,6.8,,2022
02000074,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,7.25,5,4.75,7,,2022
02000075,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,8.75,7.25,4.25,8.6,,2022
02000076,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,5.75,7,,,,6.4,7.75,2022
02000077,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.5,,,5.5,7.25,5,7,,2022
02000078,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,4.5,,,4.5,7.25,6.25,8.8,,2022
02000079,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.75,,,6,8.25,4.5,8.4,,2022
