SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02002236,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,7.75,8.5,5.5,9,,2022
02002237,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7,7.25,6.5,,,,4.8,8.5,2022
02002238,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,6.75,7,4.75,,,2022
02002239,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,7.25,7.75,7.5,9.6,,2022
02002240,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6,,,5,8,4,7,,2022
02002241,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,8.75,8.5,,,,9,9.25,2022
02002242,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,9,7.5,,,,,8.75,2022
02002243,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,4.25,,,6.25,7,4,7.2,,2022
02002244,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.5,6.25,6.25,,,,6.6,8,2022
02002245,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,7.75,9,6.25,7.6,,2022
02002246,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.25,5.75,6.25,,,,7.8,9,2022
02002247,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6,,,6.5,6.75,3.5,5,,2022
02002248,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,5,7,3.5,7,,2022
02002249,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,6,5.25,4.5,8.2,,2022
02002250,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.75,6.25,8,,,,7.8,8.25,2022
02002251,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6,6.25,6.75,,,,6.2,8,2022
02002252,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7,7,5.75,,,,,7.25,2022
02002253,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.5,,,5,7.25,6,6,,2022
02002254,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.5,8.25,7.5,,,,9,9.25,2022
02002255,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,6.75,8.25,4,4.4,,2022
02002256,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6,7.25,6.75,,,,5.6,8.25,2022
02002257,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,4.5,7,5.5,7.8,,2022
02002258,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8,9.5,8.75,,,,7,9.75,2022
02002259,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,8.5,7,5.5,8,,2022
02002260,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6,,,5,4,4.25,7.4,,2022
02002261,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.75,,,6.25,6.5,4.5,6.4,,2022
02002262,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,5.25,6,3,4.2,,2022
02002263,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,6.25,6.5,5.25,,,,8.6,9.25,2022
02002264,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,7.5,7,4,5,,2022
02002265,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.25,7.75,8.25,,,,7.6,9.25,2022
02002266,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7,5.75,6.75,,,,4.6,8.25,2022
02002267,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7,8.5,7.5,,,,8.2,8,2022
02002268,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,5.75,,,5.75,4.25,2.25,3,,2022
02002269,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6,3.75,4.25,,,2022
02002270,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,6.25,6,2.5,6.4,,2022
02002271,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,6.25,7.5,,,,9.4,8.5,2022
02002272,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,5.25,6.5,,,,7.8,8,2022
02002273,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,8.5,7.75,,,,8.4,9,2022
02002274,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.5,,,6.75,4.5,5,7.2,,2022
02002275,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,5.75,4.75,6.25,,,,8.8,7.5,2022
02002276,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7,7,5,,,,7.2,8.75,2022
02002277,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,7,7.75,,,,6.6,8,2022
02002278,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.25,6.25,7.5,,,,6.2,8.5,2022
02002279,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,7.25,5.5,4.5,7,,2022
02002280,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.5,6.5,6,,,,8.6,8.5,2022
02002281,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.58,,,5,6.75,3.75,8.4,,2022
02002282,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7.5,6.25,7.25,,,,5.6,7.75,2022
02002283,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,6.75,7.25,3.25,8.4,,2022
02002284,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.5,,,7.25,8,7,8.8,,2022
02002285,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,,,5,5,6.5,6.8,,2022
02002286,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.75,4.25,6,,,,5.8,8.25,2022
02002287,Sở GD&ĐT Thành Phố Hồ Chí Minh,4,6,7.25,7,,,,8,9,2022
02002288,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,,,7.75,6,6.75,,,2022
02002289,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.75,6.75,6.25,,,,6.6,7.75,2022
02002290,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.25,7.5,7.25,,,,6.8,8.25,2022
02002291,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,3.75,6,5.5,7.6,,2022
02002292,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8,,,8.75,8.75,5.75,7.2,,2022
02002293,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,,,6.75,6.5,6,7.2,,2022
02002294,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,,,5.5,5,4,5.8,,2022
02002295,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,5,7.5,8.5,6.8,,2022
02002296,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.5,8.75,7.75,,,,8.2,9.75,2022
02002297,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6,6.5,6.75,,,,9,8.5,2022
02002298,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.75,6.75,6.75,,,,9.4,8.75,2022
02002299,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6,8,6.25,,,,4.6,8,2022
02002300,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,8,8,,,,8.8,9,2022
02002301,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,6.5,5,6.25,9,,2022
02002302,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,6.5,4.5,4.25,8.8,,2022
02002303,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8,,,7.5,5.25,5.75,8.4,,2022
02002304,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,7,5.75,5.25,9.2,,2022
02002305,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.25,8.75,8,,,,8.2,9.25,2022
02002306,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,4.75,,,6.5,6.25,3.25,4.2,,2022
02002307,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5,8.25,7.5,,,,7.4,8.25,2022
02002308,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,5.25,7,7.5,,,,8,7.75,2022
02002309,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,5,3.25,3.5,7,,2022
02002310,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,5.75,,,7.25,5,3.5,7.2,,2022
02002311,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,6.25,6,5.5,,,,5.4,8,2022
02002312,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,6.25,6,5,,,,9.6,8,2022
02002313,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,7.25,8,5,7.8,,2022
02002314,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,7.25,5.75,6.5,9,,2022
02002315,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,4.5,,,4.75,5,4.5,7.2,,2022
02002316,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,6.75,8.25,8,,,,4.6,8.25,2022
02002317,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.5,,,5.25,7,4,6.8,,2022
02002318,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,8,7.75,8.5,,,,5.8,8.75,2022
02002319,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.83,,,7.25,7,3.75,6.8,,2022
02002320,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5,8,6.25,,,,7.2,8.25,2022
02002321,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.25,8.75,8.5,,,,9,8.5,2022
02002322,Sở GD&ĐT Thành Phố Hồ Chí Minh,5,7,7,7.25,,,,6.6,7.5,2022
02002323,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,4.5,,,3.75,4.5,4.75,9,,2022
02002324,Sở GD&ĐT Thành Phố Hồ Chí Minh,5,5,6,7.25,,,,5.2,8,2022
02002325,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,7.75,6.75,5.75,7.4,,2022
02002326,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5,5.25,6.25,,,,7,6.5,2022
02002327,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.25,8.25,8,,,,8.2,8.75,2022
02002328,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5,,,8.25,4,4.5,8.4,,2022
02002329,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,,,7.25,6.75,5,8.8,,2022
02002330,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5,,,5.75,7.25,4,5.8,,2022
02002331,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,5.5,,,5.75,7,3,8.2,,2022
02002332,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,6.25,5.5,3.75,6.4,,2022
02002333,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7,,,5.75,2.25,3,3.6,,2022
02002334,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,5.75,6.5,4.25,6.2,,2022
02002335,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,4.5,4.5,,,,7.6,7.75,2022
02002336,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6,4.25,5.75,,,,7.4,7.5,2022
02002337,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,8,6,7,,,,8.8,8.5,2022
02002338,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6,6,6,,,,8.2,8.5,2022
02002339,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,5.5,5,3,7.4,,2022
02002340,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,4.25,7.25,6.75,3.8,,2022
02002341,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5,,,4.5,7.5,6.5,5.4,,2022
02002342,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,8.25,8.25,8,,,,8,8.5,2022
02002343,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.75,,,5.25,7.25,5,8.2,,2022
02002344,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,7.25,5.75,4.75,5.2,,2022
02002345,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,,,6.5,8.5,8.25,9,,2022
02002346,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.75,,,8,7,5.25,7.2,,2022
02002347,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.75,,,4.75,4.25,4.5,7.8,,2022
02002348,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8,,,6.5,7,3.75,8.6,,2022
02002349,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.5,,,6.5,6,3.25,6.4,,2022
02002350,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6,,,6,5.25,3.5,6.6,,2022
02002351,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,3.5,6.75,2.5,4.6,,2022
02002352,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,,,7.5,6.25,5.75,8.6,,2022
02002353,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,7,8,7.75,7.6,,2022
02002354,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,7.75,8.25,5.5,7.4,,2022
02002355,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,7.5,8.5,5,7.6,,2022
02002356,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,5.75,7.25,,,,7,7.75,2022
02002357,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,7.25,8,4,8.4,,2022
02002358,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,6,6,,,,8.6,8.5,2022
02002359,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,6,6.5,,,,8.4,9.25,2022
02002360,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8,8.75,8.75,,,,6,9.25,2022
02002361,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.75,8.75,8.75,,,,9.6,10,2022
02002362,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8,8,8,,,,7,9,2022
02002363,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.5,,,5.75,4.75,3.25,6.8,,2022
02002364,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,,,5.5,4.75,5.5,7,,2022
02002365,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,6.75,7,5.25,7,,2022
02002366,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,5.75,4.75,4.5,3.2,,2022
02002367,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6,,,5.5,7,5.5,3.2,,2022
02002368,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,,,6.25,7.5,5.75,6.2,,2022
02002369,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,8,5.75,2,9.2,,2022
02002370,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.25,8.5,6,,,,3.6,7,2022
02002371,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,6,6.5,5.75,,,,6.2,7.5,2022
02002372,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6,,,6.75,8.25,6.5,6,,2022
02002373,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,7,,,4.25,2.5,3,8.6,,2022
02002374,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.25,,,5.25,3.5,3.25,7.4,,2022
02002375,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6,,,6.5,5.75,5.75,7.6,,2022
02002376,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,7,9,5.75,8,,2022
02002377,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,4.5,,,2.75,3.75,3.75,8.6,,2022
02002378,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,6.75,7.5,,,,7.6,7.75,2022
02002379,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,,,6.75,6.75,4.5,4.6,,2022
02002381,Sở GD&ĐT Thành Phố Hồ Chí Minh,5,5.75,5.75,7.25,,,,6.6,6.25,2022
02002382,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,6.5,7,,,,7.6,9.25,2022
02002383,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.25,,,7,8,4,6,,2022
02002384,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,6.25,8.75,,,,8.4,8.25,2022
02002385,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,5.75,8.25,7,,,,4.6,9.5,2022
02002386,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,5.42,4.75,6,,,,3.2,7.5,2022
02002387,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.25,,,4.25,6,4.25,6.8,,2022
02002388,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,5.75,6,3.75,6.4,,2022
02002389,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.5,7.75,8.5,,,,7.8,8,2022
02002390,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.5,,,6,4.5,3.75,6.6,,2022
02002391,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,6.75,6.75,3.75,5.4,,2022
02002392,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,,,4.5,8,6.5,8,,2022
02002393,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,6.75,6.5,5.5,8,,2022
02002394,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.5,,,5.75,3.5,4.25,8.2,,2022
02002395,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,7.5,8,,,,6.8,8.75,2022
02002396,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,5.5,6,6.5,,,,7.8,8.75,2022
02002397,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,,,7.75,4.5,5,8.8,,2022
02002398,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,8.25,7,5.25,9,,2022
02002399,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5,,,6.75,5.25,2.25,8,,2022
02002400,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,5.25,5.25,,,,7.4,7.5,2022
02002401,Sở GD&ĐT Thành Phố Hồ Chí Minh,5,4.25,,,4.25,5.25,3.75,8.2,,2022
02002402,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.25,7,6.25,,,,5,7.75,2022
02002403,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.5,,,7,8.25,4.25,7.8,,2022
02002404,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6,,,5.75,6.5,4,6.8,,2022
02002405,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,4,,,6.75,6.75,3,6.6,,2022
02002406,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5,,,6.5,6.75,3.5,9.2,,2022
02002407,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,5.5,,,6,5.5,5.5,8.6,,2022
02002408,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6,,,4,5.5,2.25,5.2,,2022
02002409,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5,,,4.75,4,4,8,,2022
02002410,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.25,6.75,7.75,,,,7.6,8,2022
02002411,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6,,,7.25,7,5.5,7.2,,2022
02002412,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5,,,4.75,8.75,8.25,9.4,,2022
02002413,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,5.25,7.5,5.5,7.2,,2022
02002414,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,9.25,7.25,,,,8.4,9,2022
02002415,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,7.75,8,6.75,9.2,,2022
02002416,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8,7.25,5.75,,,,9.4,7,2022
02002417,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.25,4.5,7.5,,,,4.2,7,2022
02002418,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.75,,,6,8.25,5.25,6.6,,2022
02002419,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,9,7,,,,9,9.25,2022
02002420,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,5.75,7.5,7.75,6,,2022
02002421,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7.25,6.75,6.75,,,,5.8,8,2022
02002422,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.8,6.5,4.75,5.75,,,,4.8,7.75,2022
02002423,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,7,7.5,8.5,,,,4.4,7.25,2022
02002424,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,4.75,,,4.75,3,4.25,3.6,,2022
02002425,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,7.5,8,3.75,6,,2022
02002426,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,5.5,8.25,8.5,7.8,,2022
02002427,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,6.75,6.5,,,,9.2,8.5,2022
02002428,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,6.75,7,,,,7.8,8.5,2022
02002429,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,5.75,6.5,,,,8.4,8,2022
02002430,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,6.25,,,8,5,2.5,8.8,,2022
02002431,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.75,8.25,5.75,,,,6.4,8.75,2022
02002432,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,5.75,6.5,4.5,8.2,,2022
02002433,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.25,5.5,7.5,,,,5.4,8.25,2022
02002434,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7,6.75,7.75,,,,6,8,2022
02002435,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,5.5,6.5,6,,,,7,8.75,2022
02002436,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,8,8,4.75,6.6,,2022
02002437,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,4.75,,,6.75,6.5,5,6.6,,2022
02002438,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.25,6.75,7.25,,,,7.2,8,2022
02002439,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7,7.75,6.25,,,,7.6,7.75,2022
02002440,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,6.75,5.75,6.75,,,,6.4,8.25,2022
02002441,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,7,5.75,3.75,,,2022
02002442,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6,7.5,7,,,,6.8,8.25,2022
02002443,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,5.5,6.5,6.5,9.4,,2022
02002444,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,7.75,7,,,,8.8,9,2022
02002445,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7,,,4,5.25,4.75,6.8,,2022
02002446,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,7.25,7.5,4.25,7.4,,2022
02002447,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,5.25,8.25,7,7.2,,2022
02002448,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,,,7,6.75,4.75,6.6,,2022
02002449,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,8.25,6.5,,,,7.6,8.5,2022
02002450,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7,,,5.25,3.75,4.5,6.4,,2022
02002451,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.75,,,7.5,8.5,4.75,8.6,,2022
02002452,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,,,7.5,9.5,6.25,7.8,,2022
02002453,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.5,,,6,3.75,3.25,5.4,,2022
02002454,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6.75,8,5,7.4,,2022
02002455,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,7,4,3.5,6.8,,2022
02002456,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5.75,,,7.25,7,4.25,6.2,,2022
02002457,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.25,,,6.75,6,3.5,6.2,,2022
02002458,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,6.25,5.25,3.5,6.2,,2022
02002459,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.6,6.5,5.5,6.75,,,,7.2,8.5,2022
02002460,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,4.5,4.25,6,7,,2022
02002461,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.25,,,7,2.75,3.25,7.6,,2022
02002462,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.25,,,4.75,7.25,5.75,8,,2022
02002463,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.75,3.75,7.25,,,,7.8,7.5,2022
02002464,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,4.75,,,8.25,5,4.5,7.8,,2022
02002465,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,6,,,7.5,7.25,5,9,,2022
02002466,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,8,6.75,4.5,7.6,,2022
02002467,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.75,,,6.75,6.75,5.75,8.6,,2022
02002468,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.4,4.75,7.5,6.25,,,,9.2,7.5,2022
02002469,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,5.75,6,4.25,9,,2022
02002470,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,4.25,,,7.5,6.5,4.75,5.8,,2022
02002471,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,8,8,9,,,,8.6,9.25,2022
02002472,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6,,,8,6,4.25,7,,2022
02002473,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,7.5,7.5,5,7.2,,2022
02002474,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,6.25,7.5,,,,7.6,8.5,2022
02002475,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.5,6.5,6.5,,,,6.2,8.75,2022
02002476,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,6.75,7.5,,,,8,8,2022
